series,pred_full,pred_cuts
78.5,77.59515576423965,77.32654811608796
79.6,78.95310113799125,78.7549356297988
80.4,80.03431592580937,80.00061313254095
78.7,80.82127228073581,80.69135500548434
75.3,78.40610462954872,78.0808706133458
75.3,74.54947241984141,74.06174122669158
74.9,75.5581547612101,75.3
72.7,75.07342956323183,74.75432249725785
74.0,72.34659539945109,71.8987737349181
70.5,74.67915240487909,74.47345188391203
69.6,69.84713768917896,69.22532185100604
69.7,69.80937520305258,69.27222561883012
65.8,70.12434327675601,69.73641937568554
66.2,65.18936990107511,64.37964434826388
66.4,66.84410820631997,66.34567750274218
66.7,67.02514204759338,66.47283875137109
67.2,67.34738470817605,66.80925812705662
67.4,67.86627277764498,67.38209687842772
67.6,68.02976013132937,67.47283875137109
68.2,68.14039358861034,67.67283875137107
67.6,68.87865697861348,68.41851625411326
61.3,67.91680091808158,67.38148374588674
62.7,60.087639376959515,59.00557933181088
62.4,63.81520493891289,63.2098712595976
62.6,62.98760341049682,62.29074187294337
61.9,63.292696199470235,62.67283875137108
60.9,62.301414824742785,61.64506437020121
62.0,61.27069580980789,60.535806243144584
58.5,63.001056933712015,62.400613132540954
58.5,58.194480386694615,57.22532185100605
63.2,59.185918538688924,58.5
68.1,65.2489916141511,64.91171065722045
71.0,70.13348471714542,69.88454940859152
72.6,72.37839435782789,72.0561618948807
73.8,73.46044400175262,73.18271001096866
76.5,74.650590575853,74.23703250822649
90.6,77.61879067483011,77.48332314350962
92.0,94.86768636837046,95.73513197166135
90.4,92.31293531203643,92.50987125959759
88.1,89.8107469517173,89.81728998903134
86.8,87.35562783813442,87.26235435923253
83.1,86.39676301929433,86.32654811608796
80.1,82.01751265159723,81.75248309963496
76.8,79.32093565166956,79.00741872943375
75.7,76.04496830857147,75.59816060237713
78.6,75.65914733491962,75.29938686745905
86.8,79.7544398273273,79.6561618948807
91.1,89.38694689682616,89.7863888062144
96.2,92.34459230615143,92.66603315447827
97.7,97.54313635208163,98.05738815996263
95.7,97.92701665577071,98.24629063528312
94.4,94.8021590557711,94.97161248628919
94.4,93.7445217638697,93.92654811608796
93.9,94.1013879225308,94.4
94.6,93.6495638259273,93.7179031215723
95.5,94.56282486225258,94.85493562979877
96.2,95.56826473811297,95.82777438116987
96.5,96.25573968216726,96.4549356297988
96.4,96.34717119964345,96.60925812705662
96.9,95.98413648970711,96.36358062431447
97.0,96.84764393558328,97.08209687842772
96.8,96.73959439546798,97.03641937568554
97.3,96.53485498455508,96.72716124862892
97.8,97.189554062663,97.4820968784277
97.6,97.70777774426985,97.98209687842771
97.4,97.26552135311685,97.52716124862891
97.7,97.07420533252497,97.32716124862893
97.5,97.56815362314062,97.80925812705662
97.4,97.10893904046577,97.42716124862892
97.5,97.0787993089591,97.36358062431447
97.5,97.24426358798375,97.53641937568554
96.7,97.25770009317021,97.5
96.1,96.14530031514698,96.40864499451567
96.6,95.63375647398003,95.88148374588674
96.6,96.52621732278172,96.78209687842771
96.8,96.35208413697973,96.6
97.0,96.60825547344517,96.87283875137108
96.7,96.80426283958239,97.07283875137108
96.6,96.37073064157886,96.59074187294338
95.9,96.34241983904833,96.56358062431445
95.8,95.41543537786835,95.64506437020121
96.0,95.52580043019782,95.76358062431446
96.7,95.88016568530358,96.07283875137108
97.1,96.62004476318884,96.9549356297988
96.6,96.89176126633703,97.24567750274215
96.6,96.1259702998049,96.4179031215723
96.2,96.404445059488,96.6
95.5,95.78694725106749,96.05432249725784
94.8,95.00139142816387,95.2450643702012
94.1,94.3357068775582,94.5450643702012
93.7,93.48930201154654,93.8450643702012
93.3,93.36614881347475,93.55432249725784
