nome,model,file,MAE (erro entre a série inteira e a predição de todos os segmentos),RMSE (erro entre a série inteira e a predição de todos os segmentos),complexidade (média dos segmentos),desvio padrão complexidade,tempo,ganho médio de entropia por corte,numero de segmentos
TopDownIndex_25_0_5dias_umidrelmed2m_2019-05-10 _ 2019-05-17.csv,TopDownIndex_25,5dias_umidrelmed2m_2019-05-10 _ 2019-05-17,0.36925617395421195,0.6517637305417504,6.238938053097345,9.678252544937862,2437.974648086005,-0.35328820347574086,113
Full_0_5dias_umidrelmed2m_2018-12-22 _ 2019-01-01.csv,full,5dias_umidrelmed2m_2018-12-22 _ 2019-01-01.csv,5.978380210078487,7.323491797315343,11.0,0.0,40.73412142298184,0.0,1
PeriodicCut_0_5dias_umidrelmed2m_2018-12-22 _ 2019-01-01.csv,PeriodicCut,5dias_umidrelmed2m_2018-12-22 _ 2019-01-01,3.5143702545259234,4.522232273159567,21.75,8.042853971072706,121.0117258860264,-0.2251722986475603,4
RandomCut_1_0_5dias_umidrelmed2m_2018-12-22 _ 2019-01-01.csv,RandomCut_1,5dias_umidrelmed2m_2018-12-22 _ 2019-01-01,3.9744818738106034,5.202218924069031,19.0,1.0,70.33435335097602,0.0,2
RandomCut_2_0_5dias_umidrelmed2m_2018-12-22 _ 2019-01-01.csv,RandomCut_2,5dias_umidrelmed2m_2018-12-22 _ 2019-01-01,3.924672716042821,5.105260829666271,25.5,9.096702699330127,125.31014917604625,-0.21016890816289605,4
RandomCut_3_0_5dias_umidrelmed2m_2018-12-22 _ 2019-01-01.csv,RandomCut_3,5dias_umidrelmed2m_2018-12-22 _ 2019-01-01,2.6507727435945014,3.4402641635996036,22.4,6.468384651518492,149.06660547404317,0.10563433709895476,5
TopDownReg_48_50_0_5dias_umidrelmed2m_2018-12-22 _ 2019-01-01.csv,TopDownReg_48_50,5dias_umidrelmed2m_2018-12-22 _ 2019-01-01,2.5195853545828677,3.452435854428259,23.0,8.103497187428813,180.63078842603136,-0.20914559641967623,6
TopDownIndex_25_0_5dias_umidrelmed2m_2018-12-22 _ 2019-01-01.csv,TopDownIndex_25,5dias_umidrelmed2m_2018-12-22 _ 2019-01-01,0.5703248952106443,1.0765333588497756,7.098591549295775,10.829218339624171,3686.9324845190276,-0.32303103974488817,142
Full_0_5dias_umidrelmed2m_2017-01-30 _ 2017-02-04.csv,full,5dias_umidrelmed2m_2017-01-30 _ 2017-02-04.csv,5.239064937419093,6.554896221524931,11.0,0.0,43.352900744066574,0.0,1
PeriodicCut_0_5dias_umidrelmed2m_2017-01-30 _ 2017-02-04.csv,PeriodicCut,5dias_umidrelmed2m_2017-01-30 _ 2017-02-04,3.732234500052195,5.052091016649468,24.25,6.53356717268599,138.66198600293137,0.17583033906820353,4
RandomCut_1_0_5dias_umidrelmed2m_2017-01-30 _ 2017-02-04.csv,RandomCut_1,5dias_umidrelmed2m_2017-01-30 _ 2017-02-04,5.130112151513678,7.191651953451125,20.2,4.4,170.33815486298408,-0.03375943353602451,5
RandomCut_2_0_5dias_umidrelmed2m_2017-01-30 _ 2017-02-04.csv,RandomCut_2,5dias_umidrelmed2m_2017-01-30 _ 2017-02-04,3.604053586562278,5.4663101214762175,22.545454545454547,10.849077349657113,344.51105541107245,4.705785577243736,11
RandomCut_3_0_5dias_umidrelmed2m_2017-01-30 _ 2017-02-04.csv,RandomCut_3,5dias_umidrelmed2m_2017-01-30 _ 2017-02-04,2.842985637769238,4.481114606473599,26.428571428571427,5.576920370269467,233.06881591200363,-0.0864376692797993,7
TopDownReg_48_50_0_5dias_umidrelmed2m_2017-01-30 _ 2017-02-04.csv,TopDownReg_48_50,5dias_umidrelmed2m_2017-01-30 _ 2017-02-04,2.572136367979358,3.4272840436698,22.833333333333332,8.591015979239915,202.0562269879738,-0.36648428043814324,6
TopDownIndex_25_0_5dias_umidrelmed2m_2017-01-30 _ 2017-02-04.csv,TopDownIndex_25,5dias_umidrelmed2m_2017-01-30 _ 2017-02-04,0.4649441682224276,0.8437276571509807,9.23913043478261,11.260135111183935,2686.7938209630083,-0.3995164069911517,92
Full_0_5dias_umidrelmed2m_2018-07-13 _ 2018-07-18.csv,full,5dias_umidrelmed2m_2018-07-13 _ 2018-07-18.csv,2.846242513163227,3.5331721684717006,21.0,0.0,47.11078757501673,0.0,1
PageHinkley_0_5dias_umidrelmed2m_2018-07-13 _ 2018-07-18.csv,PageHinkley,5dias_umidrelmed2m_2018-07-13 _ 2018-07-18,1.7542792113124386,2.266592107767202,26.6,5.851495535331117,181.6742318009492,-0.6725092948372553,5
PeriodicCut_0_5dias_umidrelmed2m_2018-07-13 _ 2018-07-18.csv,PeriodicCut,5dias_umidrelmed2m_2018-07-13 _ 2018-07-18,1.895739873883998,2.4453635153643583,23.75,5.539629951540085,141.42927063803654,-0.7936363448226501,4
RandomCut_1_0_5dias_umidrelmed2m_2018-07-13 _ 2018-07-18.csv,RandomCut_1,5dias_umidrelmed2m_2018-07-13 _ 2018-07-18,1.5674925560654978,1.9816742727578227,23.8,7.520638270785265,179.90481156401802,-0.3260595677210836,5
RandomCut_2_0_5dias_umidrelmed2m_2018-07-13 _ 2018-07-18.csv,RandomCut_2,5dias_umidrelmed2m_2018-07-13 _ 2018-07-18,1.8215262884727712,2.396101783323992,28.0,2.1213203435596424,144.95837684208527,-0.45515539753967227,4
RandomCut_3_0_5dias_umidrelmed2m_2018-07-13 _ 2018-07-18.csv,RandomCut_3,5dias_umidrelmed2m_2018-07-13 _ 2018-07-18,2.782548503410663,3.5280446932855676,26.0,4.743416490252569,148.9271383919986,-0.39053647953636056,4
TopDownReg_48_50_0_5dias_umidrelmed2m_2018-07-13 _ 2018-07-18.csv,TopDownReg_48_50,5dias_umidrelmed2m_2018-07-13 _ 2018-07-18,1.2400139093250053,1.705783460522366,26.875,5.206666399914632,282.3541379950475,-0.09778486599345212,8
TopDownIndex_25_0_5dias_umidrelmed2m_2018-07-13 _ 2018-07-18.csv,TopDownIndex_25,5dias_umidrelmed2m_2018-07-13 _ 2018-07-18,0.5715143237919164,0.9562563542929948,4.896,8.992284693002107,3871.743340431014,-0.22852976519536733,125
